// Disenchant - Different order of rarities because of item inheritance sheningans

// Legendary Dust Creation
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_LightHammer2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_LightHammer_r"
data "PreviewStatsID" "WPN_LightHammer_r"
data "PreviewIcon" "WPN_LightHammer"

new ItemCombination "arc_LightCrossbow2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_LightCrossbow_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_LightCrossbow2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_LightCrossbow_r"
data "PreviewStatsID" "WPN_LightCrossbow_r"
data "PreviewIcon" "WPN_LightCrossbow"

new ItemCombination "arc_Mace2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Mace_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Mace2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Mace_r"
data "PreviewStatsID" "WPN_Mace_r"
data "PreviewIcon" "WPN_Mace"

new ItemCombination "arc_Dagger2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Dagger_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Dagger2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Dagger_r"
data "PreviewStatsID" "WPN_Dagger_r"
data "PreviewIcon" "WPN_Dagger"

new ItemCombination "arc_Greatclub2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Greatclub_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Greatclub2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Greatclub_r"
data "PreviewStatsID" "WPN_Greatclub_r"
data "PreviewIcon" "WPN_Greatclub"

new ItemCombination "arc_Handaxe2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Handaxe_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Handaxe2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Handaxe_r"
data "PreviewStatsID" "WPN_Handaxe_r"
data "PreviewIcon" "WPN_Handaxe"

new ItemCombination "arc_Shortbow2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Shortbow_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Shortbow2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Shortbow_r"
data "PreviewStatsID" "WPN_Shortbow_r"
data "PreviewIcon" "WPN_Shortbow"

new ItemCombination "arc_Club2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Club_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Club2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Club_r"
data "PreviewStatsID" "WPN_Club_r"
data "PreviewIcon" "WPN_Club"

new ItemCombination "arc_Torch2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Torch_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Torch2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Torch_r"
data "PreviewStatsID" "WPN_Torch_r"
data "PreviewIcon" "WPN_Torch"

new ItemCombination "arc_Javelin2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Javelin_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Javelin2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Javelin_r"
data "PreviewStatsID" "WPN_Javelin_r"
data "PreviewIcon" "WPN_Javelin"

new ItemCombination "arc_Quarterstaff2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Quarterstaff_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Quarterstaff2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Quarterstaff_r"
data "PreviewStatsID" "WPN_Quarterstaff_r"
data "PreviewIcon" "WPN_Quarterstaff"

new ItemCombination "arc_Spear2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Spear_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Spear2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Spear_r"
data "PreviewStatsID" "WPN_Spear_r"
data "PreviewIcon" "WPN_Spear"

new ItemCombination "arc_Sickle2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Sickle_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Sickle2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Sickle_r"
data "PreviewStatsID" "WPN_Sickle_r"
data "PreviewIcon" "WPN_Sickle"

new ItemCombination "arc_Shield2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "ARM_Shield_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Shield2_1"
data "ResultAmount 1" "1"
data "Result 1" "ARM_Shield_r"
data "PreviewStatsID" "ARM_Shield_r"
data "PreviewIcon" "ARM_Shield"

new ItemCombination "arc_Maul2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Maul_u"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Maul2_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Maul_r"
data "PreviewStatsID" "WPN_Maul_r"
data "PreviewIcon" "WPN_Maul"


new ItemCombination "arc_N_Radiant2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Radiant1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Radiant2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Radiant2"
data "PreviewStatsID" "arc_N_Radiant2"
data "PreviewIcon" "arc_N_Radiant2"

new ItemCombination "arc_N_Force2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Force1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Force2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Force2"
data "PreviewStatsID" "arc_N_Force2"
data "PreviewIcon" "arc_N_Force2"

new ItemCombination "arc_N_Lightning2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Lightning1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Lightning2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Lightning2"
data "PreviewStatsID" "arc_N_Lightning2"
data "PreviewIcon" "arc_N_Lightning2"

new ItemCombination "arc_N_Fire2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Fire1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Fire2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Fire2"
data "PreviewStatsID" "arc_N_Fire2"
data "PreviewIcon" "arc_N_Fire2"

new ItemCombination "arc_N_Cold2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Cold1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Cold2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Cold2"
data "PreviewStatsID" "arc_N_Cold2"
data "PreviewIcon" "arc_N_Cold2"

new ItemCombination "arc_N_Necrotic2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Necrotic1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Necrotic2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Necrotic2"
data "PreviewStatsID" "arc_N_Necrotic2"
data "PreviewIcon" "arc_N_Necrotic2"

new ItemCombination "arc_N_Warrior2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Warrior1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Warrior2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Warrior2"
data "PreviewStatsID" "arc_N_Warrior2"
data "PreviewIcon" "arc_N_Warrior2"

new ItemCombination "arc_N_Acid2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Acid1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Acid2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Acid2"
data "PreviewStatsID" "arc_N_Acid2"
data "PreviewIcon" "arc_N_Acid2"

new ItemCombination "arc_N_Thunder2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Thunder1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Thunder2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Thunder2"
data "PreviewStatsID" "arc_N_Thunder2"
data "PreviewIcon" "arc_N_Thunder2"

new ItemCombination "arc_N_Psychic2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Psychic1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Psychic2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Psychic2"
data "PreviewStatsID" "arc_N_Psychic2"
data "PreviewIcon" "arc_N_Psychic2"

new ItemCombination "arc_N_Blood2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Blood1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Blood2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Blood2"
data "PreviewStatsID" "arc_N_Blood2"
data "PreviewIcon" "arc_N_Blood2"

new ItemCombination "arc_N_Underdark2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Underdark1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Underdark2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Underdark2"
data "PreviewStatsID" "arc_N_Underdark2"
data "PreviewIcon" "arc_N_Underdark2"

new ItemCombination "arc_N_Poison2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Poison1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Poison2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Poison2"
data "PreviewStatsID" "arc_N_Poison2"
data "PreviewIcon" "arc_N_Poison2"

new ItemCombination "arc_N_Diamond2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_N_Diamond1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_N_Diamond2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_N_Diamond2"
data "PreviewStatsID" "arc_N_Diamond2"
data "PreviewIcon" "arc_N_Diamond2"

new ItemCombination "arc_R_Radiant2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Radiant1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Radiant2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Radiant2"
data "PreviewStatsID" "arc_R_Radiant2"
data "PreviewIcon" "arc_R_Radiant2"

new ItemCombination "arc_R_Force2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Force1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Force2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Force2"
data "PreviewStatsID" "arc_R_Force2"
data "PreviewIcon" "arc_R_Force2"

new ItemCombination "arc_R_Lightning2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Lightning1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Lightning2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Lightning2"
data "PreviewStatsID" "arc_R_Lightning2"
data "PreviewIcon" "arc_R_Lightning2"

new ItemCombination "arc_R_Fire2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Fire1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Fire2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Fire2"
data "PreviewStatsID" "arc_R_Fire2"
data "PreviewIcon" "arc_R_Fire2"

new ItemCombination "arc_R_Cold2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Cold1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Cold2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Cold2"
data "PreviewStatsID" "arc_R_Cold2"
data "PreviewIcon" "arc_R_Cold2"

new ItemCombination "arc_R_Necrotic2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Necrotic1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Necrotic2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Necrotic2"
data "PreviewStatsID" "arc_R_Necrotic2"
data "PreviewIcon" "arc_R_Necrotic2"

new ItemCombination "arc_R_Warrior2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Warrior1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Warrior2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Warrior2"
data "PreviewStatsID" "arc_R_Warrior2"
data "PreviewIcon" "arc_R_Warrior2"

new ItemCombination "arc_R_Acid2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Acid1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Acid2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Acid2"
data "PreviewStatsID" "arc_R_Acid2"
data "PreviewIcon" "arc_R_Acid2"

new ItemCombination "arc_R_Thunder2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Thunder1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Thunder2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Thunder2"
data "PreviewStatsID" "arc_R_Thunder2"
data "PreviewIcon" "arc_R_Thunder2"

new ItemCombination "arc_R_Psychic2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Psychic1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Psychic2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Psychic2"
data "PreviewStatsID" "arc_R_Psychic2"
data "PreviewIcon" "arc_R_Psychic2"

new ItemCombination "arc_R_Blood2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Blood1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Blood2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Blood2"
data "PreviewStatsID" "arc_R_Blood2"
data "PreviewIcon" "arc_R_Blood2"

new ItemCombination "arc_R_Underdark2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Underdark1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Underdark2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Underdark2"
data "PreviewStatsID" "arc_R_Underdark2"
data "PreviewIcon" "arc_R_Underdark2"

new ItemCombination "arc_R_Poison2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Poison1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Poison2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Poison2"
data "PreviewStatsID" "arc_R_Poison2"
data "PreviewIcon" "arc_R_Poison2"

new ItemCombination "arc_R_Diamond2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_R_Diamond1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_R_Diamond2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_R_Diamond2"
data "PreviewStatsID" "arc_R_Diamond2"
data "PreviewIcon" "arc_R_Diamond2"

new ItemCombination "arc_G_Monk2"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal2"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "arc_G_Monk1"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft2"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft2"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_G_Monk2_1"
data "ResultAmount 1" "1"
data "Result 1" "arc_G_Monk2"
data "PreviewStatsID" "arc_G_Monk2"
data "PreviewIcon" "arc_G_Monk2"

// Enchant Epic

new ItemCombination "arc_Greataxe3"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
data "Object 2" "WPN_Greataxe_r"
data "Transform 2" "Consume"
data "Type 3" "Object"
data "Object 3" "Craft3"
data "Transform 3" "Consume"
data "Type 4" "Object"
data "Object 4" "Craft3"
data "Transform 4" "Consume"

new ItemCombinationResult "arc_Greataxe3_1"
data "ResultAmount 1" "1"
data "Result 1" "WPN_Greataxe_e"
data "PreviewStatsID" "WPN_Greataxe_e"
data "PreviewIcon" "WPN_Greataxe"

new ItemCombination "arc_Greatsword3"
data "Type 1" "Object"
data "Object 1" "Enchant_Crystal"
data "Combine 1" "Base"
data "Transform 1" "Consume"
data "Type 2" "Object"
